發生年度,發生月,發生日,發生時-Hours,發生分,處理別-編號,區序,肇事地點,死亡人數,2-30日死亡人數,受傷人數,當事人序號,車種,天候,道路照明設備,道路類別,速限-速度限制,道路型態,事故位置,路面狀況1,路面狀況2,路面狀況3,道路障礙1,道路障礙2,號誌1,號誌2,車道劃分-分向,車道劃分-分道1,車道劃分-分道2,車道劃分-分道3,事故類型及型態,性別,年齡,受傷程度,主要傷處,保護裝置,行動電話,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位1,車輛撞擊部位2,肇因碼-個別,肇因碼-主要,個人肇逃否,職業,座標-X,座標-Y
113,1,1,0,22,2,07信義區,信義區基隆路1段147巷5弄11號,0,0,1,1,C03,8,5,5,30,14,9,1,5,4,5,13,4,4,8,3,5,2,2,1,22,3,10,3,4,7,9,1,10,1,11,,4,,1,21,121.5664082,25.0430901
113,1,1,0,22,2,07信義區,信義區基隆路1段147巷5弄11號,0,0,1,2,H01,8,5,5,30,14,9,1,5,4,5,13,4,4,8,3,5,2,2,2,47,2,9,4,5,8,16,8,20,10,16,,60,,1,22,121.5664082,25.0430901
113,1,1,0,36,2,05中正區,中正區信義路2段與信義路2段181巷口,0,0,1,1,B03,8,5,5,50,3,1,1,5,4,5,13,4,4,1,4,5,2,16,1,52,3,10,7,1,7,5,1,8,2,8,,80,,1,21,121.529308,25.0339234
113,1,1,0,36,2,05中正區,中正區信義路2段與信義路2段181巷口,0,0,1,2,C02,8,5,5,50,3,1,1,5,4,5,13,4,4,1,4,5,2,16,1,47,2,9,6,1,7,9,1,9,2,12,,44,,1,21,121.529308,25.0339234
113,1,1,0,45,2,06松山區,松山區八德路4段389巷與南京東路5段250巷18弄口,0,0,1,2,H01,7,5,5,30,3,2,1,5,4,5,13,4,4,10,5,5,2,9,1,56,2,7,4,5,8,16,8,20,10,16,,67,,1,21,121.5683191,25.05019877
113,1,1,0,45,2,06松山區,松山區八德路4段389巷與南京東路5段250巷18弄口,0,0,1,1,B12,7,5,5,30,3,2,1,5,4,5,13,4,4,10,5,5,2,9,2,41,3,10,7,1,7,5,1,8,2,2,,108,,1,21,121.5683191,25.05019877
113,1,1,2,10,2,06松山區,松山區光復南路71號,0,0,1,1,C04,7,5,5,50,4,18,1,5,4,5,13,2,1,1,3,4,1,1,1,23,3,10,5,1,7,9,1,10,1,11,,70,,1,21,121.5578666,25.0453435
113,1,1,2,10,2,06松山區,松山區光復南路71號,0,0,1,2,H01,7,5,5,50,4,18,1,5,4,5,13,2,1,1,3,4,1,1,1,52,2,9,4,5,8,18,8,20,1,16,,121,,1,21,121.5578666,25.0453435
113,1,1,2,27,2,04大安區,大安區復興南路2段362號,0,0,1,1,H01,8,5,5,50,14,9,1,5,4,5,13,4,4,1,5,5,1,3,1,22,2,9,4,5,8,16,8,20,10,16,,121,,1,21,121.5433387,25.0218279
113,1,1,2,27,2,04大安區,大安區復興南路2段362號,0,0,1,2,B03,8,5,5,50,14,9,1,5,4,5,13,4,4,1,5,5,1,3,1,43,3,10,7,1,7,9,1,8,1,4,,44,,1,21,121.5433387,25.0218279
