wkt_geom,MARKID,MARKTYPE1,MARKTYPE2,MARKNAME1,MARKNAME2,異動日期_西元年月,ADDRESS,TEL,坐標系統
Point (211883.86610000097425655 2667046.82729999907314777),B0000014218,9960103,,臺中捷運烏日站_出入口1,中捷烏日站_出入口1,202205,,,TM2
Point (211870.19049999926937744 2667130.68549999920651317),B0000006237,9960103,,臺中捷運烏日站_118,中捷烏日站_118,202205,,,TM2
Point (211900.81649999925866723 2667156.68789999838918447),B0000014219,9960103,,臺中捷運烏日站_出入口2,中捷烏日站_出入口2,202205,,,TM2
Point (210738.41389999931561761 2667265.16850000154227018),B0000014222,9960103,,臺中捷運臺中高鐵站_出入口3,中捷臺中高鐵站_出入口3,202205,,,TM2
Point (210872.00349999897298403 2667266.29849999863654375),B0000014220,9960103,,臺中捷運臺中高鐵站_出入口1,中捷臺中高鐵站_出入口1,202205,,,TM2
Point (210776.27370000080554746 2667268.55870000133290887),B0000014185,9960103,,臺中捷運臺中高鐵站_119,中捷臺中高鐵站_119,202205,,,TM2
Point (212838.22969999964698218 2667281.39010000042617321),B0000014198,9960103,,臺中捷運九德站_出入口1,中捷九德站_出入口1,202205,,,TM2
Point (210740.22030000109225512 2667321.90389999886974692),B0000014221,9960103,,臺中捷運臺中高鐵站_出入口2,中捷臺中高鐵站_出入口2,202205,,,TM2
Point (212842.37849999935133383 2667363.27790000010281801),B0000006239,9960103,,臺中捷運九德站_117,中捷九德站_117,202205,,,TM2
Point (212804.65889999986393377 2667369.37850000057369471),B0000014197,9960103,,臺中捷運九德站_出入口2,中捷九德站_出入口2,202205,,,TM2
Point (213373.58670000050915405 2667744.4746999996714294),B0000014196,9960103,,臺中捷運九張犁站_出入口,中捷九張犁站_出入口,202205,,,TM2
Point (213419.27429999999003485 2667747.69490000139921904),B0000014186,9960103,,臺中捷運九張犁站_116,中捷九張犁站_116,202205,,,TM2
Point (214192.85109999950509518 2668242.23269999958574772),B0000014200,9960103,,臺中捷運大慶站_出入口2,中捷大慶站_出入口2,202205,,,TM2
Point (214228.78890000045066699 2668254.10389999998733401),B0000014201,9960103,,臺中捷運大慶站_出入口3,中捷大慶站_出入口3,202205,,,TM2
Point (214187.34130000049481168 2668258.34429999906569719),B0000006241,9960103,,臺中捷運大慶站_115,中捷大慶站_115,202205,,,TM2
Point (214170.30850000068312511 2668280.38649999862536788),B0000014199,9960103,,臺中捷運大慶站_出入口1,中捷大慶站_出入口1,202205,,,TM2
Point (214097.57470000063767657 2669731.93649999937042594),B0000014224,9960103,,臺中捷運豐樂公園站_出入口,中捷豐樂公園站_出入口,202205,,,TM2
Point (214067.62510000084876083 2669754.0887000011280179),B0000014187,9960103,,臺中捷運豐樂公園站_114,中捷豐樂公園站_114,202205,,,TM2
Point (214126.65009999967878684 2670606.14090000139549375),B0000014217,9960103,,臺中捷運南屯站_出入口,中捷南屯站_出入口,202205,,,TM2
Point (214094.89410000038333237 2670640.72430000128224492),B0000006244,9960103,,臺中捷運南屯站_113,中捷南屯站_113,202205,,,TM2
Point (214066.27230000041890889 2671136.06210000161081553),B0000014204,9960103,,臺中捷運文心森林公園站_出入口,中捷文心森林公園站_出入口,202205,,,TM2
Point (214096.19729999918490648 2671169.96549999993294477),B0000014188,9960103,,臺中捷運文心森林公園站_112,中捷文心森林公園站_112,202205,,,TM2
Point (214105.77370000060182065 2672029.6183000011369586),B0000006246,9960103,,臺中捷運水安宮站_111,中捷水安宮站_111,202205,,,TM2
Point (214073.30829999916022643 2672058.43129999935626984),B0000014207,9960103,,臺中捷運水安宮站_出入口,中捷水安宮站_出入口,202205,,,TM2
Point (214395.02569999953266233 2672953.31770000047981739),B0000014213,9960103,,臺中捷運市政府站_出入口2,中捷市政府站_出入口2,202205,,,TM2
Point (214327.66170000069541857 2672967.77889999840408564),B0000014190,9960103,,臺中捷運市政府站_110,中捷市政府站_110,202205,,,TM2
Point (214274.77349999925354496 2673030.46509999921545386),B0000014212,9960103,,臺中捷運市政府站_出入口1,中捷市政府站_出入口1,202205,,,TM2
Point (214806.36930000016582198 2673619.61190000083297491),B0000014191,9960103,,臺中捷運文心櫻花站_109,中捷文心櫻花站_109,202205,,,TM2
Point (214804.07629999963683076 2673652.67509999964386225),B0000014205,9960103,,臺中捷運文心櫻花站_出入口,中捷文心櫻花站_出入口,202205,,,TM2
Point (218856.67329999926732853 2673988.22749999864026904),B0000014211,9960103,,臺中捷運四維國小站_出入口,中捷四維國小站_出入口,202205,,,TM2
Point (218826.75669999915407971 2674023.15090000117197633),B0000014192,9960103,,臺中捷運四維國小站_105,中捷四維國小站_105,202205,,,TM2
Point (215481.15610000060405582 2674042.97270000027492642),B0000014193,9960103,,臺中捷運文華高中站_108,中捷文華高中站_108,202205,,,TM2
Point (215507.86409999884199351 2674085.35689999954774976),B0000014206,9960103,,臺中捷運文華高中站_出入口,中捷文華高中站_出入口,202205,,,TM2
Point (218010.94849999953294173 2674092.35750000085681677),B0000014203,9960103,,臺中捷運文心崇德站_出入口,中捷文心崇德站_出入口,202205,,,TM2
Point (217964.58469999965745956 2674131.35130000021308661),B0000014194,9960103,,臺中捷運文心崇德站_106,中捷文心崇德站_106,202205,,,TM2
