路段序號,自行車道路線編號,路段名稱,路段起點描述,路段迄點描述,縣市別,鄉鎮別,管養單位,所屬道路寬度（M）,自行車道車行方向,自行車道類型,自行車道鋪面類別,自行車道長度（M）,自行車道寬度（M）,自行車道道路結構,補助經費（百萬元）,補助機關,完工日期,路徑（X）,路徑（Y）,備註
TP2329,,三元街(西南側),南海路,泉州街,台北市,,臺北市政府,15,0,5,,640,2,,,,1021231,"301896.324,301807.02,301699.257,301585.367,301462.804,301369.828","2768935.559,2768932.562,2768953.643,2768993.642,2769059.308,2769147.35",
TP2330,,文林北路75巷南側,文林國小,中正高中,台北市,,臺北市政府,8,1,5,,256,2,,0,,1021231,"301920.005,302020.069,302045.263,302068.74,302084.216,302110.628,302115.982,302124.045","2777613.934,2777531.129,2777510.069,2777489.777,2777477.874,2777454.935,2777452.74,2777454.322",
TP2331,,明德路(北側),東華街1段,西安街1段,台北市,,臺北市政府,15,1,5,,33,2,,,,1021231,"302370.317,302347.695","2777985.291,2777966.927",
TP2332,,重陽路興南街口,興南公園北側,興南街,台北市,,臺北市政府,20,1,5,,83,2,,,,1021231,"310883.404,310962.103","2772298.799,2772299.372",
TP2333,,民生圓環(民生東路與三民路口),三民路,民生東路5段,台北市,,臺北市政府,22,1,5,,140,2,,,,1021231,"306825.498,306809.004,306799.984#306792.534,306801.668,306817.847#306863.422,306891.673#306896.302,306872.906","2772368.918,2772380.259,2772390.079#2772434.688,2772446.024,2772461.71#2772468.989,2772444.738#2772399.342,2772372.217",
TP2335,,艋舺公園周邊,廣州街,和平西路,台北市,,臺北市政府,8,1,5,,486,2,,,,1021231,"300493.808,300444.452,300396.514,300393.063,300393.126,300395.283,300498.128,300493.804","2769785.202,2769787.567,2769788.498,2769794.023,2769858.933,2769930.828,2769927.109,2769786.309",
TP2336,,三重路與新民街口(東側),經貿二路62巷,新民街,台北市,,臺北市政府,30,1,5,,93,2,,,,1021231,"311962.926,311957.391","2772230.439,2772138.364",
TP2337,,研究院路3段(凌雲街、軍人公墓),研究院路3段2巷,研究院路3段203號,台北市,,臺北市政府,12,1,5,,360,2,,,,1021231,"312004.103,312102.623,312114.22,312118.546,312141.803,312205.519,312214.162,312228.087,312249.252,312250.757,312250.919","2769761.255,2769755.831,2769757.767,2769760.778,2769772.736,2769809.025,2769816.929,2769839.257,2769889.754,2769913.687,2769944.703",
TP2338,,民權街2段,研究院路2段61巷,弘道街,台北市,,臺北市政府,12,1,5,,429,2,,,,1021231,"312295.062,312400.87,312420.095,312430.477,312438.84,312458.07,312470.233","2770864.618,2771051.414,2771106.111,2771130.749,2771155.489,2771209.078,2771263.3",
TP2339,,東新街(南側),東新街168巷,東新街170號,台北市,,臺北市政府,12,1,5,,143.53,2,,,,1021231,"309521.551,309660.357","2771055.729,2771019.228",
TP2340,,忠孝醫院周邊,東新街63巷,東新街,台北市,,臺北市政府,10,1,5,,330,2,,,,1021231,"309121.303,309167.878,309194.272,309217.407,309238.804,309260.188,309301.626,309305.971,309230.866,309223.872","2771137.067,2771100.604,2771087.427,2771081.102,2771079.866,2771081.842,2771089.997,2771065.314,2771049.038,2771079.358",
TP2341,,誠正國中周邊,校園周邊道路,校園周邊道路,台北市,,臺北市政府,12,1,5,,800,2,,,,1021231,"312341.47,312365.94,312582.955,312603.566,312608.05,312587.826,312344.703","2771728.828,2771938.404,2771943.717,2771937.83,2771928.214,2771893.672,2771727.845",
TP2342,,經貿一路,南港路一段,經園街,台北市,,臺北市政府,35,1,5,,897.31,2,,,,1021231,"312419.692,312485.17,312565.813,312578.696,312582.901,312574.571,312529.333,312439.545,312281.546","2772010.76,2772144.536,2772249.361,2772278.442,2772307.593,2772363.826,2772415.569,2772523.601,2772765.353",
TP2343,,重陽路,園區街58巷,重陽路39巷,台北市,,臺北市政府,20,1,5,,1665,2,,,,1021231,"310130.52,310319.237,310505.794,310552.706,310601.769,310701.144,310765.849,310803.967,310841.988,310910.704,310940.165,310970.745,311109.643,311310.739,311409.966,311510.869,311599.76,311644.212,311679.947","2772042.465,2772126.153,2772218.585,2772242.829,2772259.552,2772284.584,2772300.712,2772305.645,2772309.469,2772308.668,2772308.911,2772307.164,2772338.357,2772382.016,2772417.022,2772460.676,2772505.385,2772537.376,2772577.969",
TP2344,,康寧路3段245巷,安康路,五分街14巷,台北市,,臺北市政府,12,1,5,,38,2,,,,1021231,"311886.171,311913.692","2773269.548,2773252.393",
TP2345,,天母東路69巷,天母東路,天母東路69巷12弄,台北市,,臺北市政府,12,1,5,,99,2,,,,1021231,"303884.706,303917.453,303926.108","2779067.203,2778997.881,2778976.98",
TP2346,,公舘路228巷北側,公館路306巷,公館路,台北市,,臺北市政府,10,1,5,,221.25,2,,,,1021231,"301028.932,301216.154","2779765.887,2779883.783",
TP2347,,磺港路、大興街,公館路,新市街,台北市,,臺北市政府,10,1,5,,350,2,,,,1021231,"300714.575,300744.47,300767.272,300793.901,300830.381,300868.143","2780586.832,2780546.846,2780489.332,2780379.217,2780385.224,2780399.1",
TP2348,,捷運新北投站周遭,豐年路2段,中和街,台北市,,臺北市政府,30,1,5,,854.41,2,,,,1021231,"300047.54,300116.317,300120.619,300145.421,300157.873,300172.049,300197.296,300239.377,300247.133,300268.49,300298.722,300322.51,300372.614,300514.453,300642.686,300779.973","2780809.11,2780943.503,2780952.602,2780980.829,2780994.721,2781005.96,2781022.669,2781040.769,2781042.791,2781047.965,2781052.84,2781054.922,2781057.544,2781065.713,2781072.393,2781084.536",
TP2349,,中和街,大業路,復興一路,台北市,,臺北市政府,12,1,5,,194.55,2,,,,1021231,"300610.021,300665.508,300658.786,300682.271,300703.539,300725.812","2781260.91,2781198.643,2781189.646,2781164.811,2781139.856,2781115.571",
TP2350,,金山北路,八德路1段,市民大道2段,台北市,,臺北市政府,30,1,5,,238.15,2,,,,1021231,"303462.992,303526.472","2770724.948,2770954.485",
TP2351,,基隆路3段22巷附近,辛亥路3段,長興街,台北市,,臺北市政府,40,1,5,,282.42,2,,,,1021231,"304926.478,305130.985","2767810.819,2768005.595",
TP2352,,汀州路3段與辛亥路口(西南側),汀洲路3段4號,汀洲路3段10號,台北市,,臺北市政府,20,1,5,,80,2,,,,1021231,"303211.711,303230.455,303242.383,303270.533","2767904.836,2767886.411,2767881.584,2767884.13",
TP2353,,健康路15巷,民生東路4段80巷15弄,光復北路190巷,台北市,,臺北市政府,12,1,5,,230,2,,,,1021231,"305788.367,305790.091,305793.54","2771927.217,2772023.925,2772118.091",
TP2354,,華江國小周遭,校園周邊道路,校園周邊道路,台北市,,臺北市政府,12,1,5,,430,2,,,,1021231,"299534.045,299597.939,299675.044,299696.505,299637.232,299611.109,299534.959","2769607.785,2769687.215,2769685.723,2769667.413,2769593.76,2769561.875,2769606.237",
TP2355,,青年路與水源路交叉口,青年公園南側,青年路152巷,台北市,,臺北市政府,15,1,5,,79.23,2,,,,1021231,"300889.822,300953.534","2768098.478,2768145.57",
TP2356,,興隆路1段(南側),興隆路1段70巷,興隆路1段16巷,台北市,,臺北市政府,20,1,5,,120,2,,,,1021231,"304456.606,304494.884,304525.996,304534.385,304553.092,304562.299,304573.766","2766350.804,2766345.418,2766339.893,2766337.046,2766328.814,2766323.423,2766308.293",
TP2357,,木柵路1段,光輝路,木柵路1段323號,台北市,,臺北市政府,20,1,5,,85,2,,,,1021231,"306042.837,306078.236,306107.18,306127.754","2764590.476,2764599.15,2764606.469,2764611.537",
TP2358,,木柵路三段169巷,木柵路3段,秀明路1段,台北市,,臺北市政府,8,1,5,,231,2,,,,1021231,"307379.591,307387.882,307397.888,307418.213,307459.751","2764947.92,2764920.817,2764893.832,2764837.869,2764730.488",
TP2359,,安康路228巷,安康路,潭美街,台北市,,臺北市政府,12,1,5,,181.57,2,,,,1021231,"310874.88,310893.846","2772875.313,2772694.733",
TP2360,,南港公園,公園內道路,公園內道路,台北市,,臺北市政府,4,1,7,,600,2,,,,970430,"309669.17,309673.388,309699.629,309700.789,309697.015,309619.005,309608.213,309612.39,309623.04,309641.169","2771011.402,2770923.692,2770853.247,2770841.953,2770827.98,2770737.142,2770712.947,2770634.32,2770552.508,2770491.222",
TP2001,,三元街(西南側1),泉州街,寧波西街,台北市,,臺北市政府,30,1,5,,330.52,2,,0,,1021231,"301601.524,301700.151,301761.46,301841.321,301924.355","2768964.35,2768930.717,2768917.546,2768908.988,2768915.506",
TP2002,,三元街(西南側2),泉州街,和平西路二段104巷,台北市,,臺北市政府,30,1,5,,460,2,,0,,1021231,"301229.589,301249.189,301281.703,301352.936,301427.386,301501.45,301590.712","2769244.519,2769238.611,2769206.943,2769130.782,2769057.845,2769007.504,2768968.075",
TP2003,,三元街(東北側2),和平西路二段104巷,和平西路二段98巷,台北市,,臺北市政府,30,1,5,,267,2,,0,,1021231,"301249.627,301285.445,301351.692,301402.259,301453.908","2769256.447,2769231.769,2769166.333,2769111.029,2769063.373",
TP2004,,南海路(東側),三元街,汀州路1段,台北市,,臺北市政府,20,1,5,,51.86,2,,0,,1021231,"301333.252,301344.167,301349.281,301352.492,301355.305,301360.54","2769078.205,2769100.953,2769109.723,2769114.608,2769117.942,2769121.395",
TP2005,,三民路 (西側),民權東路,南京東路,台北市,,臺北市政府,20,1,5,,1250,2,,0,,1021231,"306792.466,306818.657,306805.287,306797.365,306804.206,306830.717,306833.027,306841.244,306859.548,306889.78,306885.909,306883.162","2772838.77,2772461.049,2772449.252,2772437.588,2772393.752,2772375.475,2772329.516,2772318.917,2772187.843,2771882.139,2771745.657,2771605.967",
TP2006,,三民路 (東側),民權東路,健康路,台北市,,臺北市政府,20,1,5,,960,2,,0,,1021231,"306816.259,306832.065,306846.403,306856.067,306886.843,306886.598,306865.892,306875.014,306897.038","2772843.189,2772681.865,2772533.717,2772466.411,2772441.616,2772403.511,2772360.557,2772132.635,2771908.089",
TP2007,,上塔悠433號帶狀公園之廊帶,樂群二路266巷,明水路,台北市,,臺北市政府,20,1,5,,1045,2,,0,,1021231,"305669.007,306117.162,306268.741,306394.351,306673.864","2774497.543,2774487.528,2774474.196,2774446.69,2774381.167",
TP2008,,士東路200巷,士東路,德行東路,台北市,,臺北市政府,12,1,5,,323,2,,0,,1021231,"303806.824,303864.949","2778359.972,2778045.398",
TP2009,,士商路(東側),中正路,承德路5段,台北市,,臺北市政府,20,1,5,,470,2,,0,,1021231,"302327.698,302611.679","2776109.827,2775734.753",
TP2010,,士商路西側人行道,中正路,臺灣科教館,台北市,,臺北市政府,20,1,5,,500,2,,0,,1021231,"301985.728,302300.61","2776539.626,2776124.234",
TP2011,,育仁路(南),中央北路1段,豐年路1段,台北市,,臺北市政府,12,1,5,,240.48,2,,0,,1021231,"300318.674,300261.343,300369.455","2780620.143,2780690.158,2780794.126",
TP2012,,大直街西側人行道,北安路,大直街2巷,台北市,,臺北市政府,15,1,5,,120,2,,0,,1021231,"305115.152,305118.472,305182.655","2774851.302,2774828.719,2774748.007",
TP2013,,大南路北側人行道,基河路,承德路,台北市,,臺北市政府,10,1,5,,150,2,,0,,1021231,"302615.738,302717.835","2775728.566,2775829.094",
TP2014,,大度路3段(北側),中央北路,立德路,台北市,,臺北市政府,45,1,5,,710,2,,0,,1021231,"296886.742,296894.793,296922.595,296966.309,297023.913,297281.644,297291.37,297413.129,297534.772","2779634.235,2779580.319,2779559.923,2779545.785,2779538.894,2779516.194,2779503.157,2779491.064,2779483.403",
TP2015,,大湖山莊街周邊,219巷,168巷,台北市,,臺北市政府,10,1,5,,368,2,,0,,1021231,"310460.351,310528.093,310583.627,310601.578,310617.141,310637.073,310644.834,310661.629","2775664.074,2775674.011,2775684.781,2775685.747,2775679.281,2775665.856,2775644.623,2775542.79",
TP2016,,大業路452巷人行道,大業路,北投路2段,台北市,,臺北市政府,20,1,5,,176,2,,0,,1021231,"300039.208,300156.496,300154.803","2780442.659,2780493.158,2780542.111",
TP2017,,大業路人行道,大業路452巷,大業路525巷,台北市,,臺北市政府,30,1,5,,332,2,,0,,1021231,"300041.85,300009.108,299994.155,299992.118,300002.064,300017.142,300039.206","2780738.53,2780675.826,2780628.916,2780579.616,2780534.681,2780492.756,2780443.213",
TP2018,,大龍街1,民族西路,昌吉街,台北市,,臺北市政府,10,1,5,,279,2,,0,,1021231,"302046.905,302066.216","2773460.633,2773185.45",
TP2019,,大龍街2,哈密街,酒泉街,台北市,,臺北市政府,10,1,5,,112,2,,0,,1021231,"302053.466,302047.626","2773962.102,2773853.527",
TP2020,,中山北路(東側1),忠誠路,市民大道,台北市,,臺北市政府,37,1,5,,6448.33,2,,0,,1021231,"302572.773,302679.783,302714.744,302735.301,302744.749,302744.732,302780.974,302778.66,302753.272,302721.274,302710.142,302704.852,302706.144,302725.758,302737.454,302861.868,302898.605,302908.712,302935.76,302971.882,303003.785,303034.452,303039.757,303038.915,303030.629,303005.427,302995.927,302905.9,302897.449,302898.67,302904.575,302924.991,302991.08,303015.795,303023.427,303028.336,303026.59,303023.2,303021.449,303037.935,303034.634,303054.538,303071.655,303081.282,303175.49,303211.012,303227.912,303227.676,303221,303220.921,303250.871,303281.213,303284.402,303266.706,303244.802,303197.74,303157.24,303098.9,303005.684,302954.413","2771224.264,2771472.352,2771564.534,2771649.904,2771763.81,2771768.129,2772572.329,2772648.861,2772795.751,2772930.209,2773017.34,2773080.679,2773164.202,2773284.129,2773338.228,2773854.111,2774006.559,2774027.644,2774050.899,2774075.298,2774095.249,2774121.731,2774158.416,2774245.033,2774274.575,2774347.695,2774429.958,2774752.607,2774798.764,2774822.03,2774833.905,2774875.965,2774976.356,2775028.07,2775062.881,2775097.681,2775131.569,2775147.174,2775182.502,2775275.057,2775371.523,2775415.133,2775449.205,2775463.753,2775595.269,2775668.847,2775758.192,2775818.559,2775875.025,2775895.406,2776104.099,2776289.532,2776402.639,2776491.295,2776572.956,2776768.831,2776911.896,2777077.599,2777264.323,2777376.664",
TP2021,,中山北路(東側),市民大道,忠孝東路,台北市,,臺北市政府,40,1,5,,285,2,,0,,1021231,"302458.991,302502.965,302553.466","2770951.45,2771061.943,2771180.547",
TP2022,,中山南路(西側1),信義路1段,愛國西路,台北市,,臺北市政府,40,1,5,,400,2,,0,,1021231,"302122.638,302105.787,302151.005,302205.49","2769743.135,2769768.99,2769952.149,2770165.584",
TP2023,,中正路(北側),承德路5段,雨農路,台北市,,臺北市政府,40,1,5,,1650.85,2,,0,,1021231,"302141.44,302470.712,302573.91,302598.472,302858.737,303263.227,303663.43","2776018.727,2776245.624,2776321.123,2776334.067,2776404.858,2776504.019,2776589.109",
TP2024,,中華公園周邊,敦化北路145巷,民生東路4段80巷,台北市,,臺北市政府,8,1,5,,60,2,,0,,1021231,"305719.661,305776.961","2771801.991,2771804.661",
TP2025,,中華路2段(南側),寧波西街,中華路2段467巷,台北市,,臺北市政府,20,1,5,,66,2,,0,,1021231,"301487.556,301552.52","2768596.729,2768578.143",
TP2026,,中華路2段300巷13弄,西藏路,中華路2段364巷,台北市,,臺北市政府,12,1,5,,150,2,,0,,1021231,"300828.488,300825.51,300874.657","2769176.119,2769108.54,2769054.558",
TP2027,,五常街(榮星公園北側)南側,建國北路3段,龍江路,台北市,,臺北市政府,15,1,5,,372,2,,0,,1021231,"304212.266,304566.307","2773004.838,2773001.93",
TP2028,,內江街(北側),康定路,昆明街,台北市,,臺北市政府,12,1,5,,214,2,,0,,1021231,"300689.272,300744.789,300796.584,300905.905","2770494.721,2770490.164,2770482.492,2770472.93",
TP2029,,內湖路1段(南側),內湖路1段91巷,文德路,台北市,,臺北市政府,30,1,5,,1942,2,,0,,1021231,"306606.877,306661.969,306716.064,306824.972,306928.707,307037.336,307116.108,307385.898,307878.49,308001.164,308123.758,308133.354,308136.285,308144.613,308149.885,308155.552,308172.946,308180.831,308189.811,308198.688,308207.65,308225.674,308242.153,308384.26","2775232.032,2775204.348,2775173.89,2775110.541,2775054.26,2775009.742,2774989.026,2774978.75,2774811.245,2774762.696,2774709.385,2774706.656,2774681.524,2774668.489,2774662.419,2774658.123,2774648.339,2774644.385,2774644.091,2774644.129,2774647.934,2774655.764,2774671.231,2774608.258",
TP2030,,內湖路2段1,成功路3段174巷,金龍路,台北市,,臺北市政府,12,1,5,,447,2,,0,,1021231,"309552.61,309732.38,309885.324,309890.517","2774990.036,2775150.108,2775284.588,2775296.685",
TP2031,,內湖路2段2,內湖路2段179巷,成功路3段174巷,台北市,,臺北市政府,12,1,5,,283,2,,0,,1021231,"309270.988,309545.579","2774913.486,2774983.027",
TP2032,,內湖路2段(北側),文德路101巷,內湖路2段179巷,台北市,,臺北市政府,12,1,5,,505,2,,0,,1021231,"308794.361,309010.227,309265.039","2774744.05,2774841.241,2774912.906",
TP2033,,內湖路2段103巷(東側),環山路3段,內湖路2段,台北市,,臺北市政府,11,1,5,,577,2,,0,,1021231,"308608.156,308629.856,308783.521","2775279.259,2774995.119,2774754.748",
